day,word1,word2,word3,word4,word5,grades,level
1,I,you,he,she,it,S,Level 1｜50骨架词
2,we,they,this,that,here,S,Level 1｜50骨架词
3,there,who,be,have,do,S,Level 1｜50骨架词
4,get,go,come,take,give,S,Level 1｜50骨架词
5,put,make,keep,bring,turn,S,Level 1｜50骨架词
6,see,look,watch,hear,listen,S,Level 1｜50骨架词
7,feel,know,think,in,on,S,Level 1｜50骨架词
8,at,to,from,into,out,S,Level 1｜50骨架词
9,up,down,over,under,back,S,Level 1｜50骨架词
10,and,but,or,so,because,S,Level 1｜50骨架词
11,what,use,through,now,say,S,Level 2｜150生存词
12,if,where,work,off,always,S,Level 2｜150生存词
13,tell,when,become,by,never,S,Level 2｜150生存词
14,ask,not,find,still,answer,S,Level 2｜150生存词
15,can,need,before,a,want,S,Level 2｜150生存词
16,after,the,of,for,with,S,Level 2｜150生存词
17,me,move,above,today,smell,A,Level 2｜150生存词
18,good,person,home,food,also,A,Level 2｜150生存词
19,him,walk,below,yesterday,taste,A,Level 2｜150生存词
20,bad,people,house,water,too,A,Level 2｜150生存词
21,her,run,behind,tomorrow,notice,A,Level 2｜150生存词
22,big,man,room,milk,very,A,Level 2｜150生存词
23,us,sit,between,morning,recognize,A,Level 2｜150生存词
24,small,woman,door,bread,could,A,Level 2｜150生存词
25,them,stand,among,afternoon,understand,A,Level 2｜150生存词
26,long,boy,window,rice,may,A,Level 2｜150生存词
27,my,stay,beside,evening,remember,A,Level 2｜150生存词
28,short,girl,table,meat,might,A,Level 2｜150生存词
29,your,leave,near,night,forget,A,Level 2｜150生存词
30,tall,baby,chair,fruit,must,A,Level 2｜150生存词
31,his,arrive,far,day,believe,A,Level 3｜300日常核心词
32,high,child,bed,apple,should,A,Level 3｜300日常核心词
33,our,reach,inside,week,guess,A,Level 3｜300日常核心词
34,low,children,phone,car,would,A,Level 3｜300日常核心词
35,their,enter,outside,month,mean,A,Level 3｜300日常核心词
36,old,parent,computer,bus,will,A,Level 3｜300日常核心词
37,mine,return,around,year,learn,A,Level 3｜300日常核心词
38,young,mother,book,train,yours,A,Level 3｜300日常核心词
39,carry,across,hour,imagine,new,A,Level 3｜300日常核心词
40,father,pen,plane,hers,hold,A,Level 3｜300日常核心词
41,along,minute,dream,hot,mom,A,Level 3｜300日常核心词
42,paper,city,ours,drop,past,A,Level 3｜300日常核心词
43,second,wonder,cold,dad,school,A,Level 3｜300日常核心词
44,weather,theirs,pick,toward,time,A,Level 3｜300日常核心词
45,realize,warm,son,class,dog,A,Level 3｜300日常核心词
46,myself,pull,usually,consider,cool,A,Level 3｜300日常核心词
47,daughter,lesson,yourself,push,often,A,Level 3｜300日常核心词
48,decide,hard,brother,homework,himself,A,Level 3｜300日常核心词
49,fall,sometimes,plan,soft,sister,A,Level 3｜300日常核心词
50,test,herself,rise,again,hope,A,Level 3｜300日常核心词
51,easy,wife,job,itself,jump,A,Level 3｜300日常核心词
52,soon,wish,difficult,family,money,A,Level 3｜300日常核心词
53,climb,strong,cross,weak,pass,A,Level 3｜300日常核心词
54,fast,follow,slow,lead,dirty,A,Level 3｜300日常核心词
55,send,try,play,start,stop,A,Level 3｜300日常核心词
56,begin,finish,open,eat,drink,A,Level 3｜300日常核心词
57,ourselves,lie,towards,weekend,expect,B,Level 3｜300日常核心词
58,full,adult,bedroom,tea,while,B,Level 3｜300日常核心词
59,themselves,lift,away,Monday,suppose,B,Level 3｜300日常核心词
60,closed,husband,bathroom,coffee,although,B,Level 3｜300日常核心词
61,these,close,onto,Tuesday,seem,B,Level 4｜500基础表达词
62,ready,friend,kitchen,juice,though,B,Level 4｜500基础表达词
63,those,cut,upon,Wednesday,mind,B,Level 4｜500基础表达词
64,busy,neighbor,hall,noodle,as,B,Level 4｜500基础表达词
