id,word,grade,level,category,subcategory,core_direction,related
1,I,S,Level 1｜50骨架词,人与指向,人称指代,建立“谁在说、谁被说、谁被谈论”,you / he / she / it
2,you,S,Level 1｜50骨架词,人与指向,人称指代,建立“谁在说、谁被说、谁被谈论”,I / he / she / it
3,he,S,Level 1｜50骨架词,人与指向,人称指代,建立“谁在说、谁被说、谁被谈论”,I / you / she / it
4,she,S,Level 1｜50骨架词,人与指向,人称指代,建立“谁在说、谁被说、谁被谈论”,you / he / it / we
5,it,S,Level 1｜50骨架词,人与指向,人称指代,建立“谁在说、谁被说、谁被谈论”,he / she / we / they
6,we,S,Level 1｜50骨架词,人与指向,人称指代,建立“谁在说、谁被说、谁被谈论”,she / it / they / me
7,they,S,Level 1｜50骨架词,人与指向,人称指代,建立“谁在说、谁被说、谁被谈论”,it / we / me / him
8,this,S,Level 1｜50骨架词,人与指向,指示与位置,把注意力指向近处、远处或当前位置,that / these / those / here
9,that,S,Level 1｜50骨架词,人与指向,指示与位置,把注意力指向近处、远处或当前位置,this / these / those / here
10,here,S,Level 1｜50骨架词,人与指向,指示与位置,把注意力指向近处、远处或当前位置,these / those / there / this
11,there,S,Level 1｜50骨架词,人与指向,指示与位置,把注意力指向近处、远处或当前位置,those / here / this / that
12,who,S,Level 1｜50骨架词,人与指向,疑问指向,把未知的人、物、地点变成提问焦点,whom / whose / what / which
13,be,S,Level 1｜50骨架词,核心动作引擎,核心动作母词,构成大量英语表达的底层动作/状态引擎,have / do / get / go
14,have,S,Level 1｜50骨架词,核心动作引擎,核心动作母词,构成大量英语表达的底层动作/状态引擎,be / do / get / go
15,do,S,Level 1｜50骨架词,核心动作引擎,核心动作母词,构成大量英语表达的底层动作/状态引擎,be / have / get / go
16,get,S,Level 1｜50骨架词,核心动作引擎,核心动作母词,构成大量英语表达的底层动作/状态引擎,have / do / go / come
17,go,S,Level 1｜50骨架词,核心动作引擎,核心动作母词,构成大量英语表达的底层动作/状态引擎,do / get / come / take
18,come,S,Level 1｜50骨架词,核心动作引擎,核心动作母词,构成大量英语表达的底层动作/状态引擎,get / go / take / give
19,take,S,Level 1｜50骨架词,核心动作引擎,核心动作母词,构成大量英语表达的底层动作/状态引擎,go / come / give / put
